First Author	Year	Organism	Organism (cleaned)	Dataset name	Volume(as quoted)	Volume (μm³)	Volume (claude)	Resolution (nm)	Resolution (claude)	Dataset Size (TB)	Dataset Size (Claude)	Acquisition Time (days)	Scanning Costs ($)	Method	Method (claude)	Completion %	References	Notes
"Nuno Maçarico da
Costa"	2013	Monkey, Cats	Other	not specified	not specified	not specified		~20–50 nm voxel sizes	35.0	not mentioned		"~10 days per neuron for light microscopy reconstruction; months
 for electron microscopy of smaller dendritic or axonal regions"	"not specified(high
costs"	"Sparse reconstruction using light microscopy (LM) for large-scale dendritic/
axonal arborization, electron microscopy (EM) for synaptic profiles, and computational
modelling to link physiology and anatomy"	Neuronal Circuit Mapping	50%	https://pdf.sciencedirectassets.com/272508/1-s2.0-S1053811913X00151/1-s2.0-S1053811913004011/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECsaCXVzLWVhc3QtMSJHMEUCIGVlYmSYhmPAJnvM24fdWG%2FF8DuRQcx8aJtAU0QazKkKAiEApEcuRiIULXh%2FLHk%2FURErIGHf70WCIbo%2FE1EiSvKHZoQqvAUIw%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDECO2Q7ah1PRYqyv1iqQBY96ESHAMlUWYODxH3xk%2FbWtHQkEECeF3ixcps5sbeuPW%2B4Ikgw27vyKTf7yLRzwgIhFE5RnXW2Kp1HC8FUUowE8Jf8jLwg5f6sNq9eG3ixJpVwN%2FzjeknGqrvqOZ64guhUOiC0DG698GPyybPhn6mlhTn8jXN0Q9dpXlqyrOz%2FZUkBJoOZb3ErX5FJDTfzjjCLztORulWgbU5mQ0nDTra9HvzlbzG%2FB74SeMcXb7qlKH6Nmn00v73Ieze9Mw9A2YtJtROk7EuBvxGIXWxsMMTfJcRHlwIbvSmhBzDBzHNogwWF6Gg1XRC%2BS4mS%2B3pufEwO0DRtUX9QAc0CabW9FVt17MtTyDTIwWjdgmMSUcvrqZoO3FJ23%2F5ueAKZFUuzRSgbt3G%2BZ20n0leu5CPOx24y0HdrBNBSOa%2B9vA0LngkVwdMfjdPcZq%2FK0CSMJpJzkNA6yUSHOeGmS6jLecjXgdgb4Zkv7B8zmfbCtpmguBRIB1dSI1ueJ9wwfW2VDEEOrNvcgHmsroJYH2qsvTyzfRkkeRjZajxnI%2BxZqgP8vPymTQ0XYCR1kG9YtaQx4qi1SRPDoAtm0Px8fdMhuyJD0XuKY832R0cexX3oeyjfFoQKva%2FUwG4fVRYTxkkqtOm%2Fh6uwfUiclqDZtPmBFLAz256iykypuozfPKuqUR7OdFbh8re0Ru9wanunolpchP4bWfl9laylpql1fPx%2FOgLqR05G7oAduXhLYHeCEkBh4rI%2BgXquvoQRTr83fNXcH2ysAO4vLb03Q%2F%2Bo2RUUXjc4%2BM2K%2FjUYmri2KEfN6%2BWsGObtFrtJwVKaMPqKcdXnDbfQ1IBL5woNq7CerSFr%2FB64r5kS6SUeosVKcI8E4XA12crKuMK2Sg7oGOrEBt7Vlg4zDf8HxHIeCppiTNxezDp55J0lFN2TpPvAL%2BCRC94zHf40GBNKnAc56jnoQaP%2BKpm%2BVyBA1%2BBWY6wB4IUpXyYF9h4ZvpBMa3u7VK1haFwRzMiPVzbxaYlenKTofqdoG9B65l3b7FplZ8hB3RMvOVbsgrsNDrGOAPtmZtuuDnxoTgqZuH1GSV6YlREDOOZd1WMD6JYIlYELZpvBkuTut8h4cS0kyCYAY50iVNSNN&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241122T181522Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYQDRA6VN6%2F20241122%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=2c8c394d4fcb26b7ae15a1024788e8b7e499dacb52a0af49c68804835f4ead27&hash=0b48d3fff68b91ef53ab26b5107864689617293eb3131312775ed00845e97c0d&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1053811913004011&tid=spdf-cfb17129-0a98-493b-92b8-af1d83fa1439&sid=87a096c983b3e5453c68b2d37e36f6fc7f40gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1d045d0a55060a595e5756&rr=8e6ae7883f429475&cc=gb	"The study emphasizes the limitations of current methods for large-scale connectomics and advocates for a sparse reconstruction strategy to
address key questions about neural circuit organization and computation."
Shin-ya Takemura	2013	Drosophila melanogaster	Drosophila	Medulla Connectome Reconstruction	"37×37×10μm³
"	13960μm³	13960.0	"40nm (slice thickness),
35,000× magnification for
TEM imaging"	40.0	Not explicitly stated		took approximately 12,940 person-hours	not specified	"High-pressure freezing, transmission electron microscopy (TEM), semi-
automated segmentation, manual proofreading, neuron classification via Golgi impregnation
 and genetic labelling."	Microscopy Techniques	80%	https://www.nature.com/articles/nature12450 	"The study reconstructed a motion detection circuit, identifying key neurons (e.g., Mi1, Tm3, T4) involved in detecting directional motion in the fly
visual system. Data includes dense synaptic connectivity for the medulla."
Stephen M. Plaza	2012	"Drosophila melanogaster (larva, medulla, lobula)
and mammalian retina"	Drosophila	Janelia FlyEM Dataset	not specified			4×4nm in X/Y, 50nm in Z	20.0	2–5 TB	3.5	not specified- required several months	not specified	"Electron Microscopy (EM), probabilistic segmentation graphs,
GPR metric for evaluating segmentation quality, and manual correction prioritization."	Electron Microscopy	"Partial; segmentation of key regions reached
 >90% adjusted Rand index (ARI) accuracy
but did not fully reconstruct all regions due
to manual correction limits."	"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.
0044448&type=printable "	"The study introduced GPR (Generalized Probabilistic Rand Index) to evaluate segmentation quality without ground truth,
significantly reducing manual segmentation time while maintaining high accuracy in reconstructions."
Leila Cammoun	2012	Human	Human	uses multi-resolution connectome mapping	"Approximately 1.2×10^12 μm³
"	not specified		"approx
2 mm isotropic;
cortical regions subdivided to ~1.5 cm²"		~2 TB for raw data 	2.0	several weeks	not specified	"Diffusion Spectrum Imaging (DSI), high-resolution structural MRI, multi-scale cortical
parcellations, and tractography algorithms"	Tractography	95%	https://www.sciencedirect.com/science/article/pii/S0165027011005991	"This study introduced a multi-scale, normalized approach to human connectome mapping, focusing on reproducibility and robustness across
individuals and resolutions."
Hai Li	2012	Human (children autistic)	Human	not specified	whole brain	Approx. 1.3×10^12μm³ per brain	1300000000000.0	1.875mm×1.875mm×3.0mm	1875000.0	<1TB	0.5	Each scan lasted ~20 minutes per participant; took several weeks	not specified	"Diffusion Tensor Imaging (DTI), fast marching algorithm for connectivity, graph
theoretical analysis of weighted networks"	Tractography	95%	https://onlinelibrary.wiley.com/doi/epdf/10.1002/hbm.22185 	"This study showed increased local connectivity in ASD, particularly in language and visual processing regions, correlating stronger connectivity
with better language performance in ASD."
Moritz Helmstaedter	2011	Rats, Mouse	Rat	E1088, E2006, K0563 datasets	"E1088: 45×39×60μm³

E2006: 135×117×80μm³

K0563: 50×65×145μm³"	"E1088: 105,300 μm³
 
E2006: 1,263,000μm³

K0563: 471,250μm³"	609850.0	"E1088: 22×22×30 nm³

E2006: 16.5×16.5×25nm³

K0563: 12×12×25 nm³"	24.17	2–4 TB	3.0	Estimated several months per dataset	Not explicitly stated	"Serial Block-Face Electron Microscopy (SBEM), KNOSSOS software,
Redundant Skeleton Consensus Procedure (RESCOP)"	Electron Microscopy	"E1088: ~100% for a specified volume

E2006: ongoing

K0563: partial completion"	https://hal.science/hal-00658165/file/PEER_stage2_10.1038%252Fnn.2868.pdf  	"The study introduced RESCOP, enabling high-accuracy neurite reconstruction, and analyzed the challenges of annotating
dense and complex neural tissue volumes."
Ann-Shyn Chiang	2011	Drosophila melanogaster	Drosophila	Flycircuit	135×117×80μm³ (aprrox) per image	1,263,000 μm³	1263000.0	"
0.32×0.32×1μm"	320.0	multiple years		not mentioned	not specified	"Genetic mosaic analysis with a repressible cell marker (MARCM), high-resolution
confocal imaging, image stitching, 3D reconstruction, automated and semi-automated
segmentation"	Microscopy Techniques	"~10–20% of the brain's ~100,000 neurons
were fully reconstructed; coverage estimated
as sufficient to approximate interregional
connectivity patterns"	https://pdf.sciencedirectassets.com/272099/1-s2.0-S0960982210X00240/1-s2.0-S0960982210015228/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECkaCXVzLWVhc3QtMSJIMEYCIQCI8F7ENsNEnlXPrDMSQmkXW3%2Bm%2FHiL55%2FXO%2FhtGwWIDwIhAIWq5a949ZOBCztTTh8CaM4UfiL0zgj6Z4XGOKcNBF66KrwFCMH%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgwAELHAY0ik52CqbLQqkAVDvocQkYKAsTxJppcHKxcJg%2FmNAV2WbmnQ5UHQct4T422juSu5i%2BRYK6sBZgNU21%2Fxv7JHQdGT%2Bz9HyigXkvVrZpsiOV4YP%2F8EONaAChld3zrEB1Vzxo4Vy8zEQPYO6kB2o8P3KYs3GqenSlpT0S1WRsDWP4L8ikPXIRH5xBuwh%2BEb4OPfGtLGfG1wLSCyNFa4M9m%2FSZ%2BiJE8qpc4G2vUOvWBUO0RcuVi4PgYG3uNV%2FPWZE8xUaUoJqNWoiWfk%2BhdpdxgWPdMOgReysjZVyJFASWj3S7Sj0r3EJ8G97wpzF9kdptR2yo1N4f%2FZvvBSuVvrdm06upHaL2r%2BZqr1BHAWthBNAe3k0pTw4TtxHK%2BjzQkeIDGotqfgqH91ZPY4agF4xdnZGFyBzf5YKHXGQdTqAHGg8WoQveN4BE3prHURnvE4oW7osXq2P1a2REZb09VJBpcQaxwEdE5JuCrmTEC6QL29y%2FWSN67YElcxb2sR4gafKPhd2MupCCDePCnKrS76Xy9oS4%2FDQaCWAKXUGyBVr9GGWiHIgtfWHv%2F%2BqCtgWOGeUPCzR8dMF%2FXBAiIu30uN0LfHmxZnpvNXtE6lvKCaDbtX9eRtT6Z6YQ6yf0l6%2Fz9TviyXObOVNw0N4qBYc7TZQ6EMhDzAK4oeZNpajwW0zZGmzNsG7BZPrhGuH3Pqgz37GnJw4RfkH8EE6n2elQJ0yvAjzCR%2B7YZWj%2Bp5RkLYk1Q5xw0OI0MH2X2EwxmG%2FQgv%2FyO59Ut0DW5utYhNP%2BpzgsyYNbMCfJtaSv6J4bXtbpewGITc8WYT6sHldRHUQlzHFOGNe7RwVwMkItJPy1CttZEhg5PTrMGtr8r4bUqNjEfvJ5fbDLg1ORRvIIwRJzDE3YK6BjqwAdtsKrxiiXL6dbsjdzT21v6WY%2Feffw38y9jC%2B7iM28ATkGh4n1RSyAW2jGNvLUqomBtOxis4kGVIUoLZtDUMRSKmxnXaBG%2FbxnKI8d0pK7dASQJIGbFcF36%2BIPcJ6EPq3FfO2HIrn1Bi51A062PwmtUHBJWUz%2FH3Hqtuj%2Fwk56pH9LuDWuq7rgt5c%2B3W0tpKPSKn%2BOP88k%2FXb41taLB3Jo1CSYnXksQ%2F%2BjKBcIqhlAAa&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241122T175543Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3LONXKIZ%2F20241122%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=3f9895afd5f357dca68e951ffd1b496a6a044f71ee5a504829752aac6b231738&hash=1f514528df7909ba8784f8678d928004b9ae73be7c59863759b0d701d21b42c5&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0960982210015228&tid=spdf-ba3e033f-0e0f-4f36-a137-34de693beb53&sid=87a096c983b3e5453c68b2d37e36f6fc7f40gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1d045d0a55060c0f040900&rr=8e6acabfed569418&cc=gb	"The study introduced FlyCircuit, an open-access resource for neuron data, and developed a mesoscopic map of Drosophila brain circuits,
laying the groundwork for understanding neural connectivity and information flow."
Deepak Ropireddy	2011	Rat (Long–Evans strain)	Rat	based on NeuroMorpho.Org reconstructions	1212.89 x 300.72 x 1139.13 mm³ (approx)	"10^9μm³

"	1000000000.0	"~16 μm for hippocampal
reconstruction"	16000.0	1TB	1.0	several months	not specified	"High-resolution histological imaging, manual segmentation, and computational embedding
of digital reconstructions to analyse potential synaptic connectivity."	Neuronal Circuit Mapping	80%	10.3389/fninf.2011.00005 	"This study developed a computational framework for estimating potential synaptic connectivity based on the proximity of axons and
dendrites, providing insights into hippocampal circuits."
Huei-Fang Yang	2011	Drosophila melanogaster, Zebrafish	Drosophila	not specified	"VNC: 512×512pixels

Tectum: 631×539pixels

"	"VNC: ~3.2×10^6μm³
Tectum: ~ 6.4×10^6 μm³

 "	5800000.0	"VNC: 4×4×50nm;
Tectum: 10×10×30nm"	48.0	0.5 TB~1 TB	0.75	several months	not specified	"Serial Section Transmission Electron Microscopy (ssTEM), Serial Block-Face Scanning
Electron Microscopy (SBFSEM); segmentation via graph cuts, interactive editing, and
topology validation"	Electron Microscopy	85%	https://www.semanticscholar.org/paper/Reconstruction-of-3d-neuronal-structures-from-data-Choe-Yang/1c7a0174bfe049e7e57d389df3e582f6ced47dd9	"The study introduced algorithms for 3D neuronal structure reconstruction from EM data, focusing on segmentation, manual correction, and
validation methods for topological accuracy."
Markus Axer	2011	Human	Human	"Not explicitly named; dataset based on
3D-PLI imaging of postmortem human brains"	"Whole brain with specific focus areas
(2 mm × 2 mm × 1 mm for tract
models, extended whole-brain slices)"	"Estimated ~10^9μm ³
 "	1000000000.0	"Large-area polarimeter:100 μm voxel size;
polarizing microscope: ~1.6 μm voxel size"	850.0	0.5–1 TB	0.75	several months	not specified	"3D Polarized Light Imaging (3D-PLI) using a large-area polarimeter with a tilting stage and a
polarizing microscope for high-resolution imaging"	Microscopy Techniques	85%	"https://www.frontiersin.org/journals/neuroinformatics/articles/
10.3389/fninf.2011.00034/full"	"The study pioneered 3D-PLI for mapping fibre orientations and connectivity. Introduced scalable workflows for cross-validating
mesoscale and microscale connectomic datasets."
Markus Axer	2011	Human	Human	3D-Polarized Light Imaging (3D-PLI) dataset	"5 mm × 5 mm × 1 mm for pons
reconstruction"	25×10^6μm ³	25000000.0	100 μm	100000.0	1TB	1.0	several months	not specified	"3D-Polarized Light Imaging (3D-PLI), independent component analysis (ICA),
Fourier analysis, high-resolution tractography pipeline"	Tractography	90%	https://www.sciencedirect.com/science/article/pii/S105381191001178X?via%3Dihub	"The study introduced 3D-PLI as a novel method for mapping white matter tracts in unprecedented detail, highlighting regions
of fiber crossing and intermingling in the pons."
Dmitri B. Chklovskii	2010	Drosophila melanogaster	Drosophila	Janelia FlyEM Project	90×90×80μm³ 	648,000μm³	648000.0	3×3×40nm³	45.0	Estimated 2–5 TB	3.5	Lamina: 22 days; Medulla: 65 days	not specified	"Serial-section Transmission Electron Microscopy (ssTEM),
Semi-automated segmentation pipeline with Raveler for proofreading and annotation."	Electron Microscopy	"Partial; lamina cartridges reconstructed
(1 column complete), medulla
reconstruction in progress (~1 column
complete, surrounding 6 columns ongoing)."	https://pdf.sciencedirectassets.com/272014/1-s2.0-S0959438810X0006X/1-s2.0-S0959438810001224/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECkaCXVzLWVhc3QtMSJHMEUCIQCrdi2rUu%2Bjvp75oAOv3qYthpeYsj8ZiKF3%2FKUPaQWjewIgJfpLNHyIA%2FUUya8uvyL00TOvOBijBK%2F0IYJnaR2fyckquwUIwv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDIRGYLSmiHmJmoNhlCqPBVZ3qXJcTpFGQ79Otmsf%2BglOx6W5Mo9zY2mHDTrWWBqWGvUk84WCD6ZKQVX61nTW193%2FD4Bj3yf88vT4%2FlwCNaiXJ0Bnh8KqCPOrq%2FAqz5FJe7EpKqFOivXB49vT3gSiYZY2oBq1e6aybGganse2Dik3aa6tPWdEixVUFu8yxcO0002iw3ivnwzUHr48APDaoqjQLds7fj7nto%2FeMF3%2BNs6t5JJAYPRA8dkgLn%2Fm%2F7Yf44hk7eO3gTB3S2mjCDHJRHjPieg%2FsVSQvp8xo3msy4EsQiQvYDZkQ2Q1hWSC4iHGkto2olVoiC%2BAXQzYH0zj5lnzwOHj8knkg2pdAXKWkmPSS6BHGogR%2BqA3T6plHwkHQmmWRGc5y8UobNOJW3aH6Is2hMAwisQC73U8yeAa%2F7diK05mTrMn%2FrhnfZAX5vTfRIEDvWlYdJh5d%2B0cYWLJA1YuQJTlaMxncujfog5hTZZmuKp5j68klCfapfMokB6WhP88ffoUOW2rnl686wU2VxRMzSzfAFjS9Bx6kh7oQVgSwn6vDWwvy3kGBWnNEgmAwVTeOAyywoXVLIC081mYIqbLVxxvomiAfQ8oWAOsU9O7cBD5UU4Owe02BwGXfobJmowm6oxlG8i5OIwExZdBm1sQQ%2FlJm0SO6qYyvu4RxVa%2BiU0PBIAWnIJzKiLg2kyvvqGbXRWYuzNkTmopfMWCPBv%2FmrWOtqcJoEP0TcZGVhRnlt2wHW%2BeQ2mDlleHhHbLy%2Bb9iSJ3gnRwQ5mMeadxdZVo%2Fiyl4fV1UFnC0hTabR2qF13QUP%2BYeBTJVoc5VUc8SGDZN3qjuq%2FlnLhCYdL2Rb8bfe%2Bw%2FqNeMEYIny5ImWTojMX8L1X%2BnkIuei3mz58w0uuCugY6sQGAbJqLrgcZ6bFp1rWs0oMVPVPVM6SkNwukFrv5gxnXcGhiqASYtbXDxatwrlWfrP6k6hT0cLEMXdb8rZygGrbys3wFr5pj%2Ftzbv9dUTwiXRCudLk7PKnFlG2j5NqaG1GQ66q0VClc49Kxd703i4aqMI%2Fa13%2FP0gkGqCCmol0KkGmAZCaOHGAO075zEXVE4n0w08tuLuijJeEvwIsJ6zXI3WHBaSwcY3vayIn0B4LoNUDo%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241122T183024Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYQBFQ5KRM%2F20241122%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=8338bbb5818e35b9c0295e421ee0fa04921d13d1849fbcfbb30fbd7279055ce2&hash=a394cf5f8d41f84b952ac45da83514de19b188d7133c25d0764adf0846302d18&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0959438810001224&tid=spdf-1eddc1ea-00aa-4b30-a171-4e86cb9e7590&sid=87a096c983b3e5453c68b2d37e36f6fc7f40gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1d045d0a5506090a5e095d&rr=8e6afd8f8e9e772c&cc=gb	"The study developed a semi-automated pipeline for large-scale circuit reconstruction, demonstrating connectomics's
 feasibility but highlighting scaling challenges."
Yuriy Mishchenko	2010	C. elegans	C. elegans	GRASP-derived connectome data	100 x 100 x 1000 µm	10^7μm³ 	10000000.0	~500 nm 	500.0	not mentioned		1-7 days	not specified	"Fluorescent synaptic markers (GRASP), stochastically expressed with recombinase systems,
combined with Compressive Sensing for neural connectivity reconstruction"	Neuronal Circuit Mapping	100%	https://www.semanticscholar.org/paper/Reconstruction-of-complete-connectivity-matrix-for-Mishchenko/8c48df1c84f94ff681f2a3fe6f28f3482d4ae3f1 	"Introduced GRASP and Compressive Sensing as tools for high-speed, low-cost reconstruction of neural connectivity; experimental work
was simulated rather than executed."
Jeff W. Lichtman	2008	Mouse	Mouse	Brainbow Dataset	"Neuromuscular Junction: Individual motor
 unit maps; Hippocampus:
Dentate gyrus section ~1mm^2"	"Neuromuscular junctions: ~
10^4−10^6𝜇𝑚³
 Dentate gyrus section: ~
10^6𝜇𝑚³
"	500000.0	~50−100nm	75.0	0.1-1TB	0.55	several months	not specified	"Multicolor fluorescent protein labeling (Brainbow), light microscopy, automated image
analysis"	Microscopy Techniques	Partial	"https://www.researchgate.net/publication/5406603_A_technicolor_
approach_to_the_connectome "	"Brainbow revolutionized neural circuit visualization by enabling multicolor labelling of neurons, improving resolution,
and reducing ambiguity in dense tissue regions."
Bo Huang	2008	Green monkey kidney epithelial cells (BS-C-1)	Other	not specified	~600 nm	"1,000μm ³
"	1000.0	20–30 nm (lateral) and 50–60 nm (axial)	40.0	not mentioned		several months	not specified	"3D Stochastic Optical Reconstruction Microscopy (STORM), using photo-switchable
fluorophores and iterative stochastic activation"	Microscopy Techniques	100%	"https://www.researchgate.net/publication/5676397_Three-Dimensional_
Super-Resolution_Imaging_by_Stochastic_Optical_Reconstruction_
Microscopy "	"Achieved sub-diffraction-limit resolution for 3D imaging, allowing detailed visualization of nanoscale cellular structures.
Demonstrated applicability for structural biology."
Moritz Helmstaedter	2007	Rat	Rat	"Not specified (derived from anatomical and functional recordings in
vitro and in vivo)"	"the volume of cortical column 120,000μm
cross-sectional area and ~2 mm height
 
"	240000000 μm³	240000000.0	not specified		not specified		not specified	not specified	"Pair recordings, anatomical reconstructions, and in silico simulations of cortical
column activity"	Neuronal Circuit Mapping	50%	https://pdf.sciencedirectassets.com/271081/1-s2.0-S0165017307X01401/1-s2.0-S0165017307001361/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECoaCXVzLWVhc3QtMSJIMEYCIQC1sHm575u4vMt1fIHxXPVrvEV%2Fm%2FSTocMoyy39nJizKQIhAIdGRQjIv9%2BNc5q%2BP8QRsbszSQF22e1%2BTzi2TOe4ty%2FFKrsFCMP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgywYIf8xRKaIkNkZL0qjwWKlzsJfGu69vxYI0Bhx7s6hOJK6dNGXbIG%2Bqh6RXcqc3ynmHDWUgsGAsVtKst4ehd14v%2BLb6JRSDzVDhCTX3FjIS9e5z0nWCw4vi2cf0ogCet%2Futnvln4ruV%2FDz1KHP7LlDz3lToQO6xcMgVmD3h7lFQHShQMsBI9omAGf%2FsOwZ2dB1R5tGbXEL92i9XadgVzsXix0nXf82TI3C7zaA2vwgi2XxmPK8dpWO9u9UG2bwyo7tXNqA1u87YVK%2F%2Fs5nxW2bR90uzpCoUkhhSdAZIhwh07r3z%2BEcC%2B6YqZ9yK6U%2BKGjXClv%2B80KpbSRYGuHpJZatkBfJ1%2FJLNkszwPAu2cj4xkWzr8KN4mwGUF9Yi0rBy3tjOYJEAPz2xjNARP0qyK6Uoi6nTMZAdOvQCbpEWSivjR1tHnBDv1lzn2wxMoWnensGx8t1BTpi%2F9L387VzIwIPTuiG8Dn82g5w%2FSGBX%2FNdTYn%2B8Hla3RIzX%2BiP689P7ZSsLKuSqRM1aeA3dp4SEbzJlH0OymYHG%2Fx3nNg61WMKz9Qdu8HwoWBdvBkUgw94Bix5htGx3AXAOJNNZTyN8e5tT1V7QLOcfjRYZvlB5Sq1OOD5zxJY7UWmiTSQpYFCxQ9PbVXaRpeeKaZ104RoxNgPZAqegl1X9W5DYfz7lm8H0w67ty1Y56qhHHxo2wX9PO1ESpkldtO3zW0XOE9aC8SsVyKHBrA5DgDSof10Xg%2FSpcU6EBsz%2Fl2oxDRhc4kS%2FvInX94L%2BQMZ1dHAGC4h7Y4u0YfNL2uiNt7Arjel0wCoxugvAGxhOnnle9Yfz7hee%2BgY1hxpJ%2BvxZ4J4QWz6GM6dXSkK9cx%2BzWILUmFHHJnphZ7R0hNtXXnRt70U%2FbvMKyDg7oGOrABAmFGx7nFXbDuDs6Lqe5AHL1mIuaLQlQD6Fsbv9GQUh5BDSwt5kI%2F3dk2SMQdNnsPSMn5PGnYl%2BIGT7GEKfu3bpb4E7rmmZGZ6aqhWg0%2BZzEkGvvI1faJ%2Bid0QGsk19u%2BaRMU31Rvg%2BOjkIgFpD33buynCVmC51bzy9ZsyMTlXa1Z%2BptSngmGWOxezOudCjCwxmx72U6wF5%2B3kqSTCEQi7i%2FjliIV7aahBzaVXMLWE1U%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241122T180350Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYVYS5CDDA%2F20241122%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=cf71eacc7b68c30a811df552a62951bbf70ee6d20ee42d34ab972388f5f572a7&hash=972c4f3333bf493177648466f20eff6a2aecbe0f9ac9ec985e6b7b1b7c47a5cd&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0165017307001361&tid=spdf-4f40e6d1-9861-4a59-a766-a694163e558d&sid=87a096c983b3e5453c68b2d37e36f6fc7f40gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1d045d0a55060b58075a57&rr=8e6ad6a52b349583&cc=gb  	"The study aimed to model the anatomical and functional connectivity of a cortical column, focusing on decision-making processes and sensory
behaviours."
