Project name	Category	Status	Start Year	Start Year (cleaned)	End Year	End Year (cleaned)	Budget (in million $)	Budget (in million $) (cleaned)	Ignore?	Funders	Model Organism Studied	Model Organism Studied (Simplified)	References	blurb	Related Keywords/Papers	ref_id	supporting_refs	ref_note	confidence	validated_by
Connectomic imaging in familial and sporadic frontotemporal degeneration	Academic	Concluded	2016	2016.0	2020	2020.0	$1,253,197		True	National Institute on Aging	Human	Human	https://reporter.nih.gov/project-details/9110441 	"FTD connectomic analysis identified distinct tau and				none	none
TDP network patterns in familial and sporadic				none	none
frontotemporal degeneration."	"https://pmc.ncbi.nlm.nih.gov/articles/PMC11383468/				none	none
Keywords - frontotemporal dementia, brain connectome in neurodegenerative disorders"				none	none
The Connected Connectome Project	Commercial	Active	2015	2015.0			 5-12 (Approx)	8.5		Simons Foundation	Human, rodents, mouse and fruit fly	Human,Rodents,Insects	https://www.simonsfoundation.org/2021/02/25/the-connected-connectome/ 	"The Connected Connectome Project integrates				none	none
multi-species neural data to create a unified brain				none	none
connectivity map, advancing neuroscience, AI,				none	none
and mental health research."	"				none	none
https://en.wikipedia.org/wiki/Flatiron_Institute				none	none
Keywords - Simons Foundation, Connectome Project, Flatiron Institute's CCN, brain mapping."				none	none
International Brain Laboratory (IBL)	Commercial	Active	2017	2017.0			20	20.0		Simsons Foundation and Wellcome Trust	Mice	Rodents	https://www.internationalbrainlab.com/?utm_source=chatgpt.com 	"The International Brain Laboratory (IBL)studies				none	none
decision-making by mapping neuronal activity in mice				none	none
using Neuropixels probes, which are capable of				none	none
recording 300–1,000 neurons simultaneously across				none	none
brain regions."	"https://figshare.com/articles/online_resource/Spike_sorting_pipeline_for_the_International_Brain_Laboratory/19705522?file=49783080				none	none
Keywords - IBL spiking rate, neuropixels, brain mapping of mouse"				none	none
Scaling Up Connectomics: The Road to a Whole Mouse Brain Connectome	Commercial	Active	2023	2023.0			not specified			Wellcome Trust	Mouse	Rodents	https://wellcome.org/reports/scaling-connectomics	"Developing a comprehensive map of the mouse				none	none
brain's neural connections"	"https://www.biorxiv.org/content/10.1101/2024.03.01.582884v1.full				none	none
Keywords - neural connections, synaptic reconstruction, LICONN"				none	none
The Connectome of Olfactory Memory Circuits in the Adult Fly	Commercial	Concluded	2016	2016.0	2019	2019.0	not specified			Wellcome Trust	Fruitfly	Insects	https://wellcome.org/grant-funding/people-and-projects/grants-awarded/the-connectome-olfactory-memory-circuits-adult-fly	"Creating a connection atlas of the adult fruit fly's				none	none
memory centre maps neural circuits to understand				none	none
brain function, aiding research on memory and				none	none
neural circuit development."	"https://pubmed.ncbi.nlm.nih.gov/32619485/				none	none
Keywords - Olfaction, neuroanatomy, Drosophila, memory, synapses"				none	none
"Molecular Annotation of the Drosophila Connectome by Optimised				none	none
Expansion Microscopy"	Commercial	Concluded	2017	2017.0	2020	2020.0	not specified			Wellcome Trust	Drosophila	Insects	https://wellcome.org/grant-funding/people-and-projects/grants-awarded/molecular-annotation-drosophila-connectome 	"Developed super-resolution techniques to				none	none
localize signalling proteins in Drosophila				none	none
neurons, enabling detailed molecular annotation				none	none
of the connectome and accelerating research				none	none
on neural circuit function and development."	"https://www.nature.com/articles/s41586-024-07686-5				none	none
Keywords- Molecular annotation of a Drosophila, connectome, multi-connectome cell typing"				none	none
"Mapping the energetic pathways of the brain: Ultra-high-field MRI of				none	none
cerebral oxygen and glucose utilisation"	Commercial	Active	2020	2020.0			£1,551,810.00	1.98		Wellcome Trust	Human 	Human	"https://wellcome.org/grant-funding/people-and-projects/grants-awarded/mapping-energetic-pathways-brain-ultra-high-field				none	none
"	"aims to develop non-invasive methods for mapping				none	none
brain oxygen-to-glucose utilisation and tissue oxygen				none	none
availability using ultra-high-field magnetic resonance				none	none
imaging (MRI)."	"https://cu.converis.clarivate.com/converis/portal/detail/Project/122211577;jsessionid=zAIbucY63IFpcN98xLOy-wkpAdVaXDpogvrKqD_I.cu?lang=en_GB				none	none
Keywords - Cardiff University non-invasive brain mapping, "				none	none
Mapping the Brain: New Technique Poised to Untangle Complexity	Academic,Commercial	Concluded	"not specified				none	none
(possibly late				none	none
2000's)"		2011	2011.0	not specified			"Wellcome Trust, European Research Council, European Molecular				none	none
Biology Organisation, Medical Research Council, Overseas Research				none	none
Students Award Scheme, UCL"	Mouse	Rodents	https://wellcome.org/press-release/mapping-brain-new-technique-poised-untangle-complexity-brain 	"It's focused on the mouse's visual cortex to study				none	none
neuronal functions and synaptic connections."	"https://pubmed.ncbi.nlm.nih.gov/21478872/				none	none
Keywords - local synaptic connectivity, neocortical networks"				none	none
Sainsbury Wellcome Centre for Neural Circuits and Behaviour	Academic,Commercial	Active	2016	2016.0	2025	2025.0	75	75.0		Wellcome Trust, Gatsby Charitable Foundation	Mouse, Zebrafish, 	Rodents,Fish	https://www.sainsburywellcome.org/web/research-news/swc-awarded-major-building-project-year?utm_source=chatgpt.com 	"Researchers focus on understanding the neural				none	none
circuits underlying behaviour, with mice being ideal for				none	none
studying genetics, neural activity, and behaviour in				none	none
controlled experimental settings."	"https://www.cell.com/neuron/fulltext/S0896-6273(18)30144-2				none	none
keywords - mouse primary visual cortex, basyesian approach, neuropixels dense silicon probe."				none	none
"Controlling epileptic brain networks with computationally optimized weak				none	none
electric fields"	Academic	Active	2020	2020.0	2026	2026.0	10.5	10.5		European Commission	Human	Human	https://cordis.europa.eu/project/id/855109 	"GALVANI is a research project aiming to optimize t				none	none
transcranial current stimulation (tCS) for epilepsy				none	none
 treatment, focusing on personalized protocols,				none	none
computational modelling, and seizure prevention in				none	none
drug-resistant patients."	"https://www.sciencedirect.com/science/article/abs/pii/S138824572400230X?via%3Dihub				none	none
Keywords- Epilepsy, transcranial stimulation, signal processing, stereoelectroencephalography recordings"				none	none
Wellcome Centre For Integrative Neuroimaging	Commercial	Active	2017	2017.0			not specified			Wellcome Trust	Human	Human	https://www.ndcn.ox.ac.uk/divisions/fmrib 	"It advances neuroimaging techniques to translate				none	none
insights from laboratory neuroscience into applications				none	none
 for understanding and treating human brain function				none	none
and disorders."	"https://www.mrcbndu.ox.ac.uk/publications/stimulation-evoked-resonant-neural-activity-subthalamic-nucleus-modulated-sleep				none	none
Keywords - neural activity, brain stimulation"				none	none
